PLAYER,POS,Number,BIRTHDATE,TeamAbb,TeamName,City
Kennedy Burke,G-F,25,02-14-1997,WAS,Mystics,Washington
Rui Machida,G,13,03-08-1993,WAS,Mystics,Washington
Tianna Hawkins,F,21,03-02-1991,WAS,Mystics,Washington
Katie Benzan,G,14,05-16-1998,WAS,Mystics,Washington
Stephanie Jones,F,24,07-10-1998,WAS,Mystics,Washington
Evina Westbrook,G,4,09-28-1998,WAS,Mystics,Washington
Jazmine Jones,G,24,10-15-1996,WAS,Mystics,Washington
Rhyne Howard,F,10,04-29-2000,ATL,Dream,Atlanta
Erica Wheeler,G,17,05-02-1991,ATL,Dream,Atlanta
Cheyenne Parker-Tyus,C,32,08-22-1992,ATL,Dream,Atlanta
Tiffany Hayes,G,15,09-20-1989,ATL,Dream,Atlanta
Aari McDonald,G,2,08-20-1998,ATL,Dream,Atlanta
Maya Caldwell,G,33,12-15-1998,ATL,Dream,Atlanta
Nia Coffey,F,12,06-11-1995,ATL,Dream,Atlanta
Kristy Wallace,G,3,01-03-1996,ATL,Dream,Atlanta
Asia (AD) Durr,G,23,04-05-1997,ATL,Dream,Atlanta
Naz Hillmon,F,0,04-05-2000,ATL,Dream,Atlanta
Monique Billings,F,25,05-02-1996,ATL,Dream,Atlanta
Kia Vaughn,C,7,01-24-1987,ATL,Dream,Atlanta
Destiny Slocum,G,24,09-09-1997,ATL,Dream,Atlanta
Megan Walker,F,9,11-23-1998,ATL,Dream,Atlanta
Beatrice Mompremier,F,1,08-08-1996,ATL,Dream,Atlanta
Yvonne Turner,G,22,10-13-1987,ATL,Dream,Atlanta
Kaila Charles,G-F,5,03-23-1998,ATL,Dream,Atlanta
Kahleah Copper,F,2,08-28-1994,CHI,Sky,Chicago
Emma Meesseman,F,33,05-13-1993,CHI,Sky,Chicago
Candace Parker,C,3,04-19-1986,CHI,Sky,Chicago
Courtney Vandersloot,G,22,02-08-1989,CHI,Sky,Chicago
Allie Quigley,G,14,06-20-1986,CHI,Sky,Chicago
Azurá Stevens,F-C,30,02-01-1996,CHI,Sky,Chicago
Rebekah Gardner,G,35,07-09-1990,CHI,Sky,Chicago
Julie Allemand,G,20,07-07-1996,CHI,Sky,Chicago
Sparkle Taylor,G,12,07-28-1995,CHI,Sky,Chicago
Dana Evans,G,11,08-01-1998,CHI,Sky,Chicago
Anneli Maley,F,10,09-01-1998,CHI,Sky,Chicago
Kaela Davis,F,0,03-15-1995,CHI,Sky,Chicago
Ruthy Hebard,F,24,04-28-1998,CHI,Sky,Chicago
Li Yueru,C,28,03-28-1999,CHI,Sky,Chicago
Tina Krajisnik,F-C,15,01-12-1991,CHI,Sky,Chicago
Alyssa Thomas,F,25,04-12-1992,CON,Sun,Connecticut
DeWanna Bonner,F,24,08-21-1987,CON,Sun,Connecticut
Courtney Williams,G,10,05-11-1994,CON,Sun,Connecticut
Jonquel Jones,C,35,01-05-1994,CON,Sun,Connecticut
Brionna Jones,F,42,12-18-1995,CON,Sun,Connecticut
Natisha Hiedeman,G,2,02-10-1997,CON,Sun,Connecticut
Jasmine Thomas,G,5,09-30-1989,CON,Sun,Connecticut
Odyssey Sims,G,1,07-13-1992,CON,Sun,Connecticut
DiJonai Carrington,G-F,21,01-08-1998,CON,Sun,Connecticut
Bria Hartley,G,14,09-30-1992,CON,Sun,Connecticut
Yvonne Anderson,G,31,03-08-1990,CON,Sun,Connecticut
Nia Clouden,G,11,05-17-2000,CON,Sun,Connecticut
Joyner Holmes,F,8,02-22-1998,CON,Sun,Connecticut
Jazmine Jones,G,23,10-15-1996,CON,Sun,Connecticut
Stephanie Jones,F,4,07-10-1998,CON,Sun,Connecticut
Kiana Williams,G,23,04-09-1999,CON,Sun,Connecticut
Kayla McBride,G,21,06-25-1992,MIN,Lynx,Minnesota
Sylvia Fowles,C,34,10-06-1985,MIN,Lynx,Minnesota
Odyssey Sims,G,1,07-13-1992,MIN,Lynx,Minnesota
Aerial Powers,F-G,3,01-17-1994,MIN,Lynx,Minnesota
Moriah Jefferson,G,4,03-08-1994,MIN,Lynx,Minnesota
Jessica Shepard,F,10,09-11-1996,MIN,Lynx,Minnesota
Napheesa Collier,F,24,09-23-1996,MIN,Lynx,Minnesota
Yvonne Turner,G,22,10-13-1987,MIN,Lynx,Minnesota
Rachel Banham,G,15,07-15-1993,MIN,Lynx,Minnesota
Damiris Dantas,F,12,11-17-1992,MIN,Lynx,Minnesota
Bridget Carleton,F,6,05-22-1997,MIN,Lynx,Minnesota
Natalie Achonwa,F,11,11-22-1992,MIN,Lynx,Minnesota
Lindsay Allen,G,2,03-20-1995,MIN,Lynx,Minnesota
Evina Westbrook,G,2,09-28-1998,MIN,Lynx,Minnesota
Nikolina Milic,F,31,04-12-1994,MIN,Lynx,Minnesota
Kamiah Smalls,G,8,04-17-1998,MIN,Lynx,Minnesota
Angel McCoughtry,F-G,35,09-10-1986,MIN,Lynx,Minnesota
Elissa Cunane,C,7,09-25-2000,MIN,Lynx,Minnesota
Hannah Sjerven,F,30,06-11-1998,MIN,Lynx,Minnesota
Rennia Davis,F,0,02-24-1999,MIN,Lynx,Minnesota
