PLAYER,POS,Number,BIRTHDATE,TeamAbb,TeamName,City
Kristi Toliver,G,20,1/27/1987,LAS,Sparks,Los Angeles
Chiney Ogwumike,F-C,13,3/21/1992,LAS,Sparks,Los Angeles
Chennedy Carter,G,7,11/14/1998,LAS,Sparks,Los Angeles
Olivia Nelson-Ododa,C,10,8/17/2000,LAS,Sparks,Los Angeles
Rae Burrell,G-F,12,6/21/2000,LAS,Sparks,Los Angeles
Kianna Smith,G,5,6/10/1999,LAS,Sparks,Los Angeles
Jasmine Walker,F,40,2/3/1998,LAS,Sparks,Los Angeles
Amy Atwell,F,25,6/30/1998,LAS,Sparks,Los Angeles
Sabrina Ionescu,G,20,12/6/1997,NYL,Liberty,New York
Natasha Howard,F,6,9/2/1991,NYL,Liberty,New York
Betnijah Laney-Hamilton,G-F,44,10/29/1993,NYL,Liberty,New York
Marine Johannes,G,23,1/21/1995,NYL,Liberty,New York
Stefanie Dolson,C,31,1/8/1992,NYL,Liberty,New York
Crystal Dangerfield,G,3,5/11/1998,NYL,Liberty,New York
Sami Whitcomb,G,32,7/20/1988,NYL,Liberty,New York
Rebecca Allen,F,9,11/6/1992,NYL,Liberty,New York
Han Xu,C,21,10/31/1999,NYL,Liberty,New York
Michaela Onyenwere,F,12,8/10/1999,NYL,Liberty,New York
DiDi Richards,G-F,2,2/8/1999,NYL,Liberty,New York
Jocelyn Willoughby,F-G,13,3/25/1998,NYL,Liberty,New York
Lorela Cubaj,F,18,1/8/1999,NYL,Liberty,New York
Asia (AD) Durr,G,25,4/5/1997,NYL,Liberty,New York
Kaila Charles,G-F,5,3/23/1998,NYL,Liberty,New York
Natasha Cloud,G,9,2/22/1992,WAS,Mystics,Washington
Ariel Atkins,G,7,7/30/1996,WAS,Mystics,Washington
Elena Delle Donne,F,11,9/5/1989,WAS,Mystics,Washington
Alysha Clark,F,22,7/7/1987,WAS,Mystics,Washington
Shakira Austin,C,0,7/25/2000,WAS,Mystics,Washington
Shatori Walker-Kimbrough,G,32,5/18/1995,WAS,Mystics,Washington
Myisha Hines-Allen,F,2,5/30/1996,WAS,Mystics,Washington
Elizabeth Williams,C-F,1,6/23/1993,WAS,Mystics,Washington
Kennedy Burke,G-F,25,2/14/1997,WAS,Mystics,Washington
Rui Machida,G,13,3/8/1993,WAS,Mystics,Washington
Tianna Hawkins,F,21,3/2/1991,WAS,Mystics,Washington
Katie Benzan,G,14,5/16/1998,WAS,Mystics,Washington
Stephanie Jones,F,24,7/10/1998,WAS,Mystics,Washington
Evina Westbrook,G,4,9/28/1998,WAS,Mystics,Washington
Jazmine Jones,G,24,10/15/1996,WAS,Mystics,Washington
Rhyne Howard,F,10,4/29/2000,ATL,Dream,Atlanta
Erica Wheeler,G,17,5/2/1991,ATL,Dream,Atlanta
Cheyenne Parker-Tyus,C,32,8/22/1992,ATL,Dream,Atlanta
Tiffany Hayes,G,15,9/20/1989,ATL,Dream,Atlanta
Aari McDonald,G,2,8/20/1998,ATL,Dream,Atlanta
Maya Caldwell,G,33,12/15/1998,ATL,Dream,Atlanta
Nia Coffey,F,12,6/11/1995,ATL,Dream,Atlanta
Kristy Wallace,G,3,1/3/1996,ATL,Dream,Atlanta
Asia (AD) Durr,G,23,4/5/1997,ATL,Dream,Atlanta
Naz Hillmon,F,0,4/5/2000,ATL,Dream,Atlanta
Monique Billings,F,25,5/2/1996,ATL,Dream,Atlanta
Kia Vaughn,C,7,1/24/1987,ATL,Dream,Atlanta
Destiny Slocum,G,24,9/9/1997,ATL,Dream,Atlanta
Megan Walker,F,9,11/23/1998,ATL,Dream,Atlanta
Beatrice Mompremier,F,1,8/8/1996,ATL,Dream,Atlanta
Yvonne Turner,G,22,10/13/1987,ATL,Dream,Atlanta
Kaila Charles,G-F,5,3/23/1998,ATL,Dream,Atlanta
Kahleah Copper,F,2,8/28/1994,CHI,Sky,Chicago
Emma Meesseman,F,33,5/13/1993,CHI,Sky,Chicago
Candace Parker,C,3,4/19/1986,CHI,Sky,Chicago
Courtney Vandersloot,G,22,2/8/1989,CHI,Sky,Chicago
Allie Quigley,G,14,6/20/1986,CHI,Sky,Chicago
Azurá Stevens,F-C,30,2/1/1996,CHI,Sky,Chicago
Rebekah Gardner,G,35,7/9/1990,CHI,Sky,Chicago
Julie Allemand,G,20,7/7/1996,CHI,Sky,Chicago
Sparkle Taylor,G,12,7/28/1995,CHI,Sky,Chicago
Dana Evans,G,11,8/1/1998,CHI,Sky,Chicago
Anneli Maley,F,10,9/1/1998,CHI,Sky,Chicago
Kaela Davis,F,0,3/15/1995,CHI,Sky,Chicago
Ruthy Hebard,F,24,4/28/1998,CHI,Sky,Chicago
Li Yueru,C,28,3/28/1999,CHI,Sky,Chicago
Tina Krajisnik,F-C,15,1/12/1991,CHI,Sky,Chicago
Kahleah Copper,F,2,8/28/1994,CON,Sun,Connecticut
Emma Meesseman,F,33,5/13/1993,CON,Sun,Connecticut
Candace Parker,C,3,4/19/1986,CON,Sun,Connecticut
Courtney Vandersloot,G,22,2/8/1989,CON,Sun,Connecticut
Allie Quigley,G,14,6/20/1986,CON,Sun,Connecticut
Azurá Stevens,F-C,30,2/1/1996,CON,Sun,Connecticut
Rebekah Gardner,G,35,7/9/1990,CON,Sun,Connecticut
Julie Allemand,G,20,7/7/1996,CON,Sun,Connecticut
Sparkle Taylor,G,12,7/28/1995,CON,Sun,Connecticut
Dana Evans,G,11,8/1/1998,CON,Sun,Connecticut
Anneli Maley,F,10,9/1/1998,CON,Sun,Connecticut
Kaela Davis,F,0,3/15/1995,CON,Sun,Connecticut
Ruthy Hebard,F,24,4/28/1998,CON,Sun,Connecticut
Li Yueru,C,28,3/28/1999,CON,Sun,Connecticut
Tina Krajisnik,F-C,15,1/12/1991,CON,Sun,Connecticut
Kayla McBride,G,21,6/25/1992,MIN,Lynx,Minnesota
Sylvia Fowles,C,34,10/6/1985,MIN,Lynx,Minnesota
Odyssey Sims,G,1,7/13/1992,MIN,Lynx,Minnesota
Aerial Powers,F-G,3,1/17/1994,MIN,Lynx,Minnesota
Moriah Jefferson,G,4,3/8/1994,MIN,Lynx,Minnesota
Jessica Shepard,F,10,9/11/1996,MIN,Lynx,Minnesota
Napheesa Collier,F,24,9/23/1996,MIN,Lynx,Minnesota
Yvonne Turner,G,22,10/13/1987,MIN,Lynx,Minnesota
Rachel Banham,G,15,7/15/1993,MIN,Lynx,Minnesota
Damiris Dantas,F,12,11/17/1992,MIN,Lynx,Minnesota
Bridget Carleton,F,6,5/22/1997,MIN,Lynx,Minnesota
Natalie Achonwa,F,11,11/22/1992,MIN,Lynx,Minnesota
Lindsay Allen,G,2,3/20/1995,MIN,Lynx,Minnesota
Evina Westbrook,G,2,9/28/1998,MIN,Lynx,Minnesota
Nikolina Milic,F,31,4/12/1994,MIN,Lynx,Minnesota
Kamiah Smalls,G,8,4/17/1998,MIN,Lynx,Minnesota
Angel McCoughtry,F-G,35,9/10/1986,MIN,Lynx,Minnesota
Elissa Cunane,C,7,9/25/2000,MIN,Lynx,Minnesota
Hannah Sjerven,F,30,6/11/1998,MIN,Lynx,Minnesota
Rennia Davis,F,0,2/24/1999,MIN,Lynx,Minnesota
